##  1	ANNA	M = 7	SNBR =  902	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
20-Jul-1961 00:00:00	11.5	60.2	40	0
20-Jul-1961 06:00:00	11.7	62.0	52	1002
20-Jul-1961 12:00:00	11.9	63.8	69	999
20-Jul-1961 18:00:00	12.4	65.7	81	0
21-Jul-1961 00:00:00	13.0	67.2	92	1002
21-Jul-1961 06:00:00	13.2	69.5	104	992
21-Jul-1961 12:00:00	13.4	71.5	109	0
##  2	BETSY	M = 13	SNBR =  903
## Timestamp	Latitude	Longitude	Windspeed	Pressure
03-Sep-1961 18:00:00	17.0	48.1	92	973
04-Sep-1961 00:00:00	18.2	49.1	98	989
04-Sep-1961 06:00:00	19.5	49.8	104	0
04-Sep-1961 12:00:00	20.5	50.2	109	986
04-Sep-1961 18:00:00	22.0	50.2	115	982
05-Sep-1961 00:00:00	23.2	50.6	121	0
05-Sep-1961 06:00:00	24.5	51.4	127	0
05-Sep-1961 12:00:00	25.6	52.3	132	957
05-Sep-1961 18:00:00	26.9	52.9	138	952
06-Sep-1961 00:00:00	28.5	54.1	138	0
06-Sep-1961 06:00:00	29.9	55.1	138	950
06-Sep-1961 12:00:00	30.9	56.1	138	945
06-Sep-1961 18:00:00	32.4	56.8	132	954
##  3	CARLA	M = 5	SNBR =  904	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
04-Sep-1961 06:00:00	13.7	79.5	29	1007
04-Sep-1961 12:00:00	14.2	80.1	29	1006
04-Sep-1961 18:00:00	14.9	80.7	29	1005
05-Sep-1961 00:00:00	15.5	81.4	35	1002
05-Sep-1961 06:00:00	15.9	82.1	35	999
##  4	DEBBIE	M = 4	SNBR =  905	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
12-Sep-1961 12:00:00	32.2	45.8	121	975
12-Sep-1961 18:00:00	33.0	45.6	121	0
13-Sep-1961 00:00:00	33.9	45.3	115	0
13-Sep-1961 06:00:00	34.7	45.1	98	980
##  5	ESTHER	M = 6	SNBR =  906	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
14-Sep-1961 12:00:00	20.3	50.5	127	975
14-Sep-1961 18:00:00	20.5	51.3	127	966
15-Sep-1961 00:00:00	20.7	52.1	127	965
15-Sep-1961 06:00:00	21.1	53.4	127	965
15-Sep-1961 12:00:00	21.6	54.7	127	966
15-Sep-1961 18:00:00	21.8	56.1	127	961
